,tickers,kurtosis
0,MMM,6.756925662758958
1,AOS,4.121724653384218
2,ABT,6.364688541937136
3,ABBV,8.978880613392349
4,ACN,5.478157921164605
5,ADBE,7.39616340108981
6,AMD,2.078542975968421
7,AES,6.860102583977115
8,AFL,32.24640373747274
9,A,3.3187502174149635
10,APD,12.259374455618614
11,ABNB,1.6243783133160976
12,AKAM,6.558349991069559
13,ALB,3.279135755128969
14,ARE,9.471073598146095
15,ALGN,16.783715810035496
16,ALLE,6.048350730009243
17,LNT,5.8807420768798675
18,ALL,8.383064714299971
19,GOOGL,3.3094391910595227
20,GOOG,3.311791292019859
21,MO,7.036277094582768
22,AMZN,3.912106347719066
23,AMCR,15.086691145886832
24,AEE,18.727299347455066
25,AAL,17.05495104087369
26,AEP,9.382719932576569
27,AXP,15.746736564469458
28,AIG,11.030189704294566
29,AMT,7.4920447635833725
30,AWK,11.72880460995816
31,AMP,19.065164534000896
32,AME,19.972885126640534
33,AMGN,6.854449795985451
34,APH,7.335357391593826
35,ADI,7.328298406095572
36,ANSS,7.56054929824022
37,AON,15.294326281392088
38,APA,23.211298023868807
39,AAPL,5.006027663482657
40,AMAT,3.5754267722358013
41,APTV,15.011826342368195
42,ACGL,9.770993815700988
43,ADM,23.037687645187628
44,ANET,9.21652943642604
45,AJG,13.27721447090357
46,AIZ,16.428441664989183
47,T,6.864095552206987
48,ATO,13.271287205011657
49,ADSK,5.537640430849056
50,ADP,12.173832637577535
51,AZO,12.60524656402246
52,AVB,10.92240249968384
53,AVY,17.209030721830658
54,AXON,7.075009803034238
55,BKR,8.582532034369878
56,BALL,10.189865996317497
57,BAC,9.85910000170157
58,BK,9.310966889275507
59,BBWI,18.933442274271755
60,BAX,8.99119990243143
61,BDX,9.203793400274728
62,BBY,6.158896542332515
63,BIO,4.381469526142007
64,TECH,2.619464744146813
65,BIIB,90.1457530306334
66,BLK,8.067290732084585
67,BX,5.142998166310333
68,BA,11.203164083355112
69,BKNG,5.966910969028442
70,BWA,3.908979977083502
71,BXP,8.450193912468958
72,BSX,6.758836226333253
73,BMY,4.081263757980286
74,AVGO,9.12982281294534
75,BR,6.605392023436538
76,BRO,7.250072390222277
77,BLDR,7.6536417206012874
78,BG,5.882283590126789
79,CDNS,3.211311937228533
80,CZR,15.787178702380519
81,CPT,11.586893777902343
82,CPB,6.542975514394776
83,COF,9.391268551086723
84,CAH,8.082239235497637
85,KMX,9.620991776063706
86,CCL,9.358637152680457
87,CARR,18.451863166838855
88,CTLT,15.445563480193673
89,CAT,4.391250145921084
90,CBOE,10.88068424653157
91,CBRE,8.466317155659366
92,CDW,7.946805549669561
93,CE,6.152013987875234
94,COR,8.862647122153
95,CNC,6.739035777546144
96,CNP,22.262817405209276
97,CF,3.711524067260705
98,CHRW,7.1417146157492315
99,CRL,5.302095562755811
100,SCHW,6.620495190131306
101,CHTR,9.295932295839402
102,CVX,20.025989867667665
103,CMG,8.904790170003631
104,CB,9.70330252076692
105,CHD,11.047613823966824
106,CI,11.6397581582055
107,CINF,9.59800928310878
108,CTAS,12.910138190067727
109,CSCO,12.484340462159508
110,C,11.145041903592656
111,CFG,8.125668648576747
112,CLX,11.22693806533871
113,CME,18.388181003810423
114,CMS,10.533463989450938
115,KO,7.948603402042796
116,CTSH,12.807488447341239
117,CL,14.102196637509543
118,CMCSA,6.009602435351708
119,CMA,9.644511941054985
120,CAG,7.1135852767948275
121,COP,12.905260430256343
122,ED,21.083361994851977
123,STZ,17.09008067649265
124,CEG,7.255282006361599
125,COO,6.7889874043489655
126,CPRT,9.24148153772573
127,GLW,9.019764731136021
128,CPAY,5.987023782655095
129,CTVA,10.910992644231973
130,CSGP,8.065956017847014
131,COST,8.55230382018232
132,CTRA,3.439936544183547
133,CCI,5.208886407418561
134,CSX,13.080359443829789
135,CMI,15.932807405018103
136,CVS,8.141176892661743
137,DHR,3.7203764740148295
138,DRI,26.131980642894714
139,DVA,22.078050777844247
140,DAY,2.9598429946008546
141,DECK,7.253930834165896
142,DE,6.364857698173424
143,DAL,10.453992268440617
144,DVN,11.380250847215446
145,DXCM,4.184444351872516
146,FANG,21.557065046215726
147,DLR,5.041002411659306
148,DFS,15.831871616185374
149,DG,17.751865118814862
150,DLTR,17.122701253714748
151,D,14.47731028654098
152,DPZ,25.098761512911466
153,DOV,12.187982088835785
154,DOW,15.10514308026222
155,DHI,6.414773978384192
156,DTE,14.148822249585724
157,DUK,12.080336007886581
158,DD,6.840951956505766
159,EMN,5.6595369678955745
160,ETN,17.832557603601057
161,EBAY,2.715751333633331
162,ECL,17.657388191446387
163,EIX,8.523292808350638
164,EW,9.459998823433752
165,EA,5.646426113922102
166,ELV,11.574169767256226
167,LLY,11.278977884084835
168,EMR,15.132404247088868
169,ENPH,9.027653775838374
170,ETR,14.107601069062408
171,EOG,12.755163211679598
172,EPAM,32.30457181183354
173,EQT,10.19588634860899
174,EFX,4.810452795189253
175,EQIX,4.5486224485443625
176,EQR,9.825134373950076
177,ESS,10.8571986625785
178,EL,8.204683581902424
179,ETSY,2.6420470340200315
180,EG,6.136273098040062
181,EVRG,19.2658151535039
182,ES,11.612206782456058
183,EXC,18.168419489824508
184,EXPE,9.609136203068692
185,EXPD,6.394720139435243
186,EXR,6.8904140405979994
187,XOM,4.042046267868571
188,FFIV,4.864076850243256
189,FDS,10.582113246630668
190,FICO,24.323125082654773
191,FAST,6.616111104015209
192,FRT,37.16809349326467
193,FDX,11.984223578755147
194,FIS,23.622246725862396
195,FITB,8.987539126022758
196,FSLR,5.686663474057976
197,FE,27.42718061254758
198,FI,9.409260465868211
199,FMC,10.151407714479992
200,F,5.778163487454863
201,FTNT,11.462203315681005
202,FTV,13.955090392162795
203,FOXA,3.77501036181059
204,FOX,3.9941671263999816
205,BEN,4.2261882801259905
206,FCX,7.4065933365413485
207,GRMN,5.4797449956272715
208,IT,9.379902046651011
209,GE,5.2086827755753475
210,GEHC,5.898237559406413
211,GEV,1.3874611771344076
212,GEN,72.75440146673809
213,GNRC,5.6608140846749215
214,GD,6.720231515456852
215,GIS,9.77171337984923
216,GM,5.419574702201828
217,GPC,18.695703952252142
218,GILD,8.167574328279091
219,GPN,11.481997679485827
220,GL,147.65982989793838
221,GS,9.902273813150597
222,HAL,16.351616791793962
223,HIG,31.175418097802385
224,HAS,14.2027706103317
225,HCA,17.843172906587338
226,DOC,14.891136534267275
227,HSIC,4.401606785761482
228,HSY,20.776184330864933
229,HES,14.575353827862472
230,HPE,5.937713507627134
231,HLT,5.007092804981925
232,HOLX,14.43590219307703
233,HD,17.008559503599248
234,HON,10.745062634759426
235,HRL,17.21932360929001
236,HST,16.05701201800448
237,HWM,13.276052046538137
238,HPQ,8.179666683253236
239,HUBB,7.252654555496518
240,HUM,15.567279240023332
241,HBAN,6.345267097629156
242,HII,5.610844317859504
243,IBM,9.566125534493873
244,IEX,5.640045384298364
245,IDXX,2.678342546195626
246,ITW,13.887620142347572
247,ILMN,4.099983355683241
248,INCY,2.808153998862483
249,IR,7.224430693497235
250,PODD,7.164173386592616
251,INTC,8.479440611690064
252,ICE,9.035513386618984
253,IFF,13.848956764906891
254,IP,7.921546541464776
255,IPG,6.9401006355013735
256,INTU,6.2819171493964365
257,ISRG,7.412896186967902
258,IVZ,7.420725810286362
259,INVH,21.992755898274417
260,IQV,10.113657371927621
261,IRM,6.736399720029834
262,JBHT,6.522650351377248
263,JBL,8.418446507837059
264,JKHY,7.437841634897035
265,J,5.550044261287413
266,JNJ,8.378225251446528
267,JCI,4.507259974200808
268,JPM,12.37892346318872
269,JNPR,18.60485701233595
270,K,11.383683034813991
271,KVUE,3.3177285150039104
272,KDP,49.38841106873079
273,KEY,11.27918865740082
274,KEYS,7.0651184896756245
275,KMB,8.911640177732373
276,KIM,21.0410457230456
277,KMI,19.35343313977624
278,KLAC,4.069810116592185
279,KHC,21.2931221641228
280,KR,5.596828630848766
281,LHX,8.83572349961032
282,LH,15.713127663390154
283,LRCX,4.330816910169236
284,LW,13.933069216836337
285,LVS,3.943736380541313
286,LDOS,11.690030213057609
287,LEN,8.60285487563199
288,LIN,6.477224828245397
289,LYV,6.877275493049547
290,LKQ,17.646207799502704
291,LMT,13.01407774606843
292,L,13.129218917841236
293,LOW,21.3527554948951
294,LULU,8.297594089543608
295,LYB,15.069528171011278
296,MTB,9.861409174161404
297,MRO,23.040740527814023
298,MPC,12.234197007470604
299,MKTX,7.253518951079981
300,MAR,8.052316673529313
301,MMC,13.006847456235228
302,MLM,5.81391865944221
303,MAS,5.7962066739749325
304,MA,9.182906578869275
305,MTCH,3.082549986594636
306,MKC,14.483845505013832
307,MCD,34.549251062748255
308,MCK,7.696544283707093
309,MDT,7.177064689558977
310,MRK,6.715250835137409
311,META,17.630524453479136
312,MET,11.292165056394547
313,MTD,3.2254447676366094
314,MGM,17.833371749620568
315,MCHP,5.563601573150162
316,MU,3.64786229772965
317,MSFT,6.735355404470704
318,MAA,11.891943387823853
319,MRNA,3.6770682929763017
320,MHK,9.682027646770223
321,MOH,7.838589225869569
322,TAP,4.431101898321508
323,MDLZ,12.60716654338512
324,MPWR,4.062804048515231
325,MNST,4.316679858064683
326,MCO,12.239628678543216
327,MS,13.422506822088767
328,MOS,7.236115020216003
329,MSI,7.446494865122165
330,MSCI,7.410698490472987
331,NDAQ,9.903512288032939
332,NTAP,9.215480405220559
333,NFLX,21.890200722298623
334,NEM,4.947290620795249
335,NWSA,5.138953177012828
336,NWS,6.086950418801184
337,NEE,7.845537120159015
338,NKE,8.869532255323229
339,NI,18.39662819881348
340,NDSN,19.966459677220726
341,NSC,12.333424601974547
342,NTRS,11.797530097368591
343,NOC,8.682457943035073
344,NCLH,10.162482011601165
345,NRG,9.110662188323753
346,NUE,3.3332003535115464
347,NVDA,4.455856248208612
348,NVR,16.73589373172262
349,NXPI,5.621401692893084
350,ORLY,14.148806985309143
351,OXY,29.624487344743663
352,ODFL,4.046088898617359
353,OMC,7.262894837812068
354,ON,7.696222268683819
355,OKE,35.26104648537969
356,ORCL,18.09787741355432
357,OTIS,7.845813799277808
358,PCAR,7.252665513990209
359,PKG,8.442239409455276
360,PANW,16.38565801620696
361,PARA,11.237710342092027
362,PH,10.523828722785762
363,PAYX,20.13933046493024
364,PAYC,20.96670949003303
365,PYPL,7.493427831991337
366,PNR,10.922138600557183
367,PEP,20.729843050109867
368,PFE,3.9322562491898148
369,PCG,19.547885968762056
370,PM,10.324251871334184
371,PSX,7.260525661181424
372,PNW,13.013471894838084
373,PXD,24.956905756036107
374,PNC,6.688272294436098
375,POOL,6.782701918262262
376,PPG,5.572633079436233
377,PPL,12.23589859948358
378,PFG,13.13271889456566
379,PG,12.342233074969919
380,PGR,7.64681310126192
381,PLD,8.377623463423596
382,PRU,15.324405810381048
383,PEG,6.88498703223817
384,PTC,6.653792852204008
385,PSA,4.69733878470749
386,PHM,10.94439263312642
387,QRVO,4.018729935883853
388,PWR,5.585308042719829
389,QCOM,4.3106102623261116
390,DGX,7.91276370905922
391,RL,5.743086978208275
392,RJF,7.911987379654123
393,RTX,11.233805590566927
394,O,38.25935327755956
395,REG,41.33053282780041
396,REGN,10.01037733661027
397,RF,7.091275276724279
398,RSG,11.964186403439012
399,RMD,13.068961649131985
400,RVTY,4.781713687800698
401,RHI,9.356105735659483
402,ROK,14.330140783594928
403,ROL,6.879377228286511
404,ROP,9.269606569152897
405,ROST,15.585780276401255
406,RCL,9.041729673611131
407,SPGI,10.728267858939013
408,CRM,13.183949695116802
409,SBAC,3.2347775507127934
410,SLB,8.139914344610661
411,STX,3.864260786944351
412,SRE,16.003209574172814
413,NOW,2.341327327706438
414,SHW,12.951968147648337
415,SPG,18.173700682136634
416,SWKS,5.390654018495095
417,SJM,7.444942171913286
418,SNA,5.767779068125902
419,SOLV,-0.19350292508042477
420,SO,21.205726296202485
421,LUV,4.874650357480091
422,SWK,14.082240236216958
423,SBUX,10.334637334922085
424,STT,10.653946566104056
425,STLD,6.5547895566167025
426,STE,6.353460324567118
427,SYK,8.860553590387878
428,SMCI,15.273816127884267
429,SYF,9.615581858473378
430,SNPS,3.264061241095551
431,SYY,18.51802899501791
432,TMUS,8.721050820762072
433,TROW,7.967439996217919
434,TTWO,5.486513455276363
435,TPR,13.999177221730001
436,TRGP,45.80869529110303
437,TGT,22.720578281886542
438,TEL,7.495238015849052
439,TDY,19.20768601365958
440,TFX,5.452331278518228
441,TER,4.89378588045772
442,TSLA,2.9590697103666046
443,TXN,4.390010262783145
444,TXT,8.491012710626933
445,TMO,3.127549543091114
446,TJX,13.505165158572009
447,TSCO,5.692765962560232
448,TT,5.896378593952591
449,TDG,17.207383791716452
450,TRV,20.530392614884132
451,TRMB,9.249440261825935
452,TFC,7.727801898841921
453,TYL,3.900129438809286
454,TSN,22.183259015890624
455,USB,6.688882351235346
456,UBER,15.188219216502866
457,UDR,9.695304006740786
458,ULTA,17.973095266778497
459,UNP,11.219744538880036
460,UAL,8.98289637108765
461,UPS,9.254025827024213
462,URI,5.7948681000690065
463,UNH,13.55753357128486
464,UHS,17.562900954933713
465,VLO,12.054112397407204
466,VTR,23.76344631431736
467,VLTO,0.5232106671910843
468,VRSN,10.764165199829787
469,VRSK,9.885151927972727
470,VZ,6.556039623395591
471,VRTX,14.370240507682208
472,VTRS,14.907475621204892
473,VICI,34.116139583915064
474,V,9.842661649674467
475,VMC,10.826156351173076
476,WRB,10.421496759358455
477,WAB,8.592404065333445
478,WBA,3.7574660645564104
479,WMT,14.281226254319407
480,DIS,7.783518203528075
481,WBD,5.526589149942442
482,WM,10.274171338026514
483,WAT,3.9662663137169853
484,WEC,19.46928960562585
485,WFC,5.806721545017849
486,WELL,20.235022979682125
487,WST,6.33903331693608
488,WDC,5.088326988762843
489,WRK,7.100638064318053
490,WY,21.156473888482527
491,WMB,22.6789120634916
492,WTW,10.385502412305852
493,GWW,9.99099182686353
494,WYNN,8.393535167216351
495,XEL,10.311876809959813
496,XYL,5.959424540142569
497,YUM,35.97862853711748
498,ZBRA,6.118712413726199
499,ZBH,8.348167957525423
500,ZTS,8.103243123596323
